num_links,num_images,num_iframes,num_forms,num_inputs,num_buttons,num_scripts,has_unescape,num_styles,css_external_links,num_hidden_elements,label
0,1,0,0,0,0,0,0,0,0,0,1
9,2,0,1,3,1,0,0,3,0,0,1
1,0,0,1,2,1,2,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,1
54,9,7,3,19,15,84,0,59,22,28,1
6,1,0,1,4,1,0,0,3,0,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
3,1,0,1,4,1,15,0,1,3,0,1
7,2,0,1,2,2,8,0,1,3,3,1
177,41,1,5,16,39,142,0,9,34,10,1
3,5,0,1,2,3,8,0,3,3,0,1
2,2,0,1,2,1,1,0,1,0,1,1
3,1,0,0,0,0,0,0,1,0,0,1
21,7,7,2,15,3,21,0,0,5,5,1
2,14,0,2,6,11,7,0,0,6,6,1
7,2,0,1,14,0,10,0,18,0,0,1
569,212,10,0,9,1,137,1,7,3,27,1
7,4,0,1,10,1,55,0,20,2,8,1
7,1,5,2,2,2,16,0,5,1,4,1
35,2,9,2,7,3,48,0,15,2,10,1
3,0,0,0,0,0,1,0,1,0,0,1
5,3,0,1,2,2,8,0,2,2,5,1
28,4,0,1,5,7,7,0,3,5,3,1
0,0,0,0,0,0,0,0,1,0,0,1
6,8,0,1,2,3,8,0,3,3,0,1
16,7,0,1,14,10,6,0,14,21,10,1
1,4,0,1,2,2,2,0,0,6,2,1
42,8,1,0,3,5,1,0,2,0,0,1
29,1,0,2,6,4,5,0,1,4,5,1
7,3,0,1,23,0,1,0,1,1,2,1
29,1,0,2,6,4,5,0,1,4,5,1
7,0,0,1,2,1,0,0,0,1,0,1
5,3,1,1,4,2,5,0,0,2,1,1
2,2,1,1,3,1,23,0,83,1,0,1
3,1,0,1,3,2,4,0,0,2,0,1
9,1,0,1,18,5,3,0,3,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,0,0,0,0,0,1,0,0,0,0,1
8,2,0,2,22,4,7,0,1,2,5,1
2,94,0,2,6,87,8,0,0,6,8,1
6,1,0,0,2,1,4,0,2,3,0,1
8,1,0,1,2,1,0,0,2,2,2,1
3,3,0,1,3,24,7,0,1,4,1,1
0,0,0,0,0,0,4,0,1,1,0,1
3,0,0,0,0,0,1,0,1,0,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,1
147,2,0,4,16,0,5,0,6,5,6,1
15,2,0,1,4,0,0,0,2,1,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
7,3,0,1,23,0,1,0,1,1,2,1
23,12,3,3,9,17,3,0,0,6,9,1
0,64,2,0,0,0,15,1,4,2,2,1
5,3,0,1,2,2,8,0,2,2,5,1
11,1,0,2,11,0,8,0,1,3,4,1
0,3,0,0,6,0,14,0,1,4,2,1
37,5,1,2,1,0,41,0,3,18,6,1
4,5,0,0,0,1,1,0,2,1,0,1
8,1,0,1,3,0,2,0,0,2,0,1
17,2,1,1,5,1,8,0,2,6,0,1
9,1,0,1,18,5,3,0,3,2,2,1
0,2,1,0,4,1,2,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1
10,2,0,1,12,1,5,0,1,3,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
6,1,0,1,4,1,0,0,3,0,0,1
4,16,0,2,6,17,7,0,0,6,4,1
0,0,0,0,0,0,0,0,0,0,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,4,0,1,0,1,10,0,1,5,0,1
3,4,0,1,2,1,14,0,7,3,1,1
6,4,1,2,22,0,3,0,1,1,2,1
0,64,2,0,0,0,15,1,4,2,2,1
332,143,1,2,7,8,13,0,1,5,1,1
111,4,1,0,0,0,31,0,2,14,2,1
2,2,0,1,2,2,13,1,1,3,3,1
6,5,0,1,2,3,8,0,3,3,0,1
7,0,0,2,3,1,8,0,2,3,0,1
0,1,0,0,0,0,0,0,0,2,0,1
6,1,0,1,4,1,0,0,3,0,0,1
7,0,0,1,5,0,2,0,0,1,2,1
54,6,0,1,5,0,8,0,2,2,7,1
2,1,0,0,1,1,3,0,1,4,1,1
4,1,1,1,4,1,5,0,4,7,1,1
1,1,0,1,5,0,6,0,1,1,0,1
10,1,0,1,1,1,6,0,1,4,0,1
5,3,0,1,2,2,8,0,2,2,5,1
1,1,0,1,3,0,4,0,1,1,0,1
0,2,1,1,4,1,8,0,1,0,1,1
1,1,0,1,2,1,2,1,0,3,0,1
296,81,6,1,2,5,74,0,12,3,5,1
21,2,0,3,16,6,6,0,1,2,20,1
0,0,0,0,0,0,4,0,1,1,0,1
55,4,0,2,0,2,2,0,2,1,0,1
0,2,0,1,7,0,1,1,2,0,1,1
6,1,0,1,4,1,0,0,3,0,0,1
0,3,0,1,2,12,1,0,2,3,0,1
2,1,0,0,1,1,3,0,1,4,1,1
164,25,0,9,27,2,26,0,2,19,3,1
33,16,3,3,26,5,23,0,1,13,12,1
7,2,0,2,2,2,9,0,1,12,9,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
15,1,0,1,15,3,21,0,0,2,8,1
4,3,0,0,0,0,0,0,0,1,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,0,0,0,0,0,4,0,1,1,0,1
114,2,1,0,27,37,22,0,3,1,81,1
0,64,2,0,0,0,15,1,4,2,2,1
5,3,1,1,4,2,5,0,0,2,1,1
4,139,2,4,12,72,5,0,0,8,8,1
35,3,10,2,7,3,48,0,15,2,12,1
10,3,0,2,8,0,7,1,2,7,5,1
8,2,0,2,8,0,6,1,2,4,5,1
9,2,0,2,8,0,6,1,2,4,5,1
9,2,0,2,8,0,6,1,2,4,5,1
14,4,0,1,6,2,3,0,3,1,6,1
2,11,0,2,7,3,24,0,5,4,3,1
2,0,1,0,0,1,17,0,2,4,1,1
0,1,0,1,3,1,7,0,1,3,2,1
91,29,0,1,1,19,1,0,42,3,6,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
