num_links,num_images,num_iframes,num_forms,num_inputs,num_buttons,num_scripts,has_unescape,num_styles,css_external_links,num_hidden_elements,label,complexity_score,category
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
10,2,0,0,4,0,21,0,1,4,2,1,0.0027465705442210205,Hard
35,2,8,2,7,3,46,0,12,2,10,1,0.006058772855496731,Hard
54,6,0,1,5,0,8,0,2,2,7,1,0.001209109491747002,Medium
10,2,0,1,2,9,3,0,7,1,0,1,0.00042016934833072485,Simple
1,1,0,1,12,0,15,0,3,5,1,1,0.0019419112448101471,Medium
7,2,0,1,43,1,8,0,14,1,6,1,0.0010566611580399932,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
5,3,1,2,25,0,7,0,0,1,3,1,0.0009209294840207305,Medium
2,0,4,1,21,1,36,1,44,1,3,1,0.004659289554917059,Hard
6,1,0,1,4,1,0,0,3,0,0,1,1.946148940940538e-05,Simple
17,4,0,1,8,0,6,0,0,4,4,1,0.0008306079519567471,Medium
3,4,0,0,0,1,9,0,0,5,0,1,0.0011729313426498504,Medium
106,14,5,2,14,2,51,0,47,4,5,1,0.006935289701255332,Hard
6,3,0,1,7,0,6,0,0,3,2,1,0.0007949285547061705,Medium
9,2,0,1,6,6,0,0,1,0,3,1,2.9192234114108065e-05,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
4,5,0,0,0,1,1,0,2,1,0,1,0.00014221883715573113,Simple
2,21,0,2,6,16,7,0,1,6,4,1,0.0009111987393160278,Medium
9,1,0,2,26,5,1,0,3,4,2,1,0.00015843674499690225,Simple
2,2,0,0,0,0,0,0,1,0,0,1,6.48716313646846e-06,Simple
0,2,0,1,4,1,4,0,1,1,0,1,0.0005169780435311768,Simple
3,3,0,1,2,2,6,0,6,0,0,1,0.0007851978100014678,Medium
9,11,0,1,3,5,2,0,1,1,2,1,0.00028768125587969647,Simple
10,2,0,1,17,0,10,0,18,0,4,1,0.0013248809245102844,Medium
0,0,0,0,0,0,0,0,0,0,0,1,0.0,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
4,1,1,2,23,0,7,0,1,0,1,1,0.0009176859024524963,Medium
2,19,1,2,6,9,7,0,0,6,7,1,0.0009111987393160278,Medium
9,11,0,1,3,5,2,0,1,1,2,1,0.00028768125587969647,Simple
8,2,0,2,22,4,7,0,1,2,5,1,0.0009306602287254332,Medium
267,19,5,2,59,3,27,1,3,5,9,1,0.004355638072553982,Hard
7,6,0,1,5,0,1,0,11,1,0,1,0.0001519495818604338,Simple
106,27,0,3,17,0,18,0,2,2,6,1,0.002670220842123124,Hard
3,4,0,0,0,1,9,0,0,5,0,1,0.0011729313426498504,Medium
8,2,0,1,4,1,6,0,18,4,2,1,0.0008014157178426389,Medium
1,2,0,1,3,0,1,0,1,0,0,1,0.00013248809245102844,Simple
2,11,0,0,1,1,2,0,1,3,0,1,0.0002649761849020569,Simple
6,7,1,0,0,1,12,0,2,5,1,1,0.0015703956200029355,Medium
9,3,2,1,4,0,0,0,3,0,2,1,2.9192234114108065e-05,Simple
15,0,0,1,2,1,6,0,3,4,3,1,0.0008241207888202785,Medium
8,2,2,3,38,4,3,0,1,2,7,1,0.0004136821851942564,Simple
0,1,0,0,0,0,0,0,0,0,0,1,0.0,Simple
